type	name	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P207T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P326T_rna	P368T_rna	P394T_rna
genus	Abiotrophia	Bacteria	0.0	0.0490291851136788	0.0580333666986599	0.2159914182008188	1.2589269501817164	0.0	0.0221149490581313	0.4159095838436031	0.1336214699241124	0.0050665890893319	0.3912189602274136	0.0267854814131421	0.0	0.0
genus	Acaricomes	Bacteria	0.0	0.0005419892912226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008444315148886	0.0	0.0	0.0	0.0036107880280375
genus	Acetivibrio	Bacteria	0.0	0.0009291244992388	0.0016120379638516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022434457640459	0.0
genus	Acetoanaerobium	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0100955059382066	0.0
genus	Acetobacter	Bacteria	0.0	0.0	0.0	0.0063470318794541	0.0	0.0	0.0110574745290656	0.0	0.0061909561354801	0.2051968581179437	0.0	0.0	0.0	0.0
genus	Acetobacterium	Bacteria	0.0	0.0	0.0	0.0126940637589083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
genus	Achromobacter	Bacteria	0.0	0.190815745119316	3.0922584367347685	0.2189710709940858	0.0663587774074456	0.0	0.0425642151901275	0.0335533168805833	0.3036145640411835	1.0677833846356877	0.04175751662989	0.0232860586123656	0.0458036702014787	0.06038293324425
genus	Acidaminococcus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0050776706644278
genus	Acidothermus	Bacteria	0.0	0.0004645622496194	0.0020726202392378	0.0	0.0015935784179515	0.0	0.0	0.0072966593656772	0.0	0.0005519915481535	0.0	0.0	0.0002926233605277	0.0
genus	Acidovorax	Bacteria	0.2324308583605919	0.621721189768353	0.295661923668083	0.4765014642962843	0.0927610753721757	0.0	0.1667666922096024	0.2762266660226861	0.1567683051407836	0.2859928873058731	0.0169828872772713	0.1873490358462674	0.8286711258811654	0.2368798230405558
genus	Acinetobacter	Bacteria	0.0095951805254324	2.773901192477493	1.8173041312487856	2.7271080308721505	1.4860118747398192	0.0	0.534444602238174	1.1758045377834243	0.6314775258189714	4.563730122215784	0.2569771601493796	0.2142838513051369	1.6287416246973552	1.0053787915567172
genus	Actibacterium	Bacteria	0.0	0.0007708292141833	0.0	0.0	0.0	0.0	0.0	0.0001954462330092	0.0	0.0	0.0	0.0	0.0	0.0
genus	Actinoalloteichus	Bacteria	0.0	0.0	0.0014083188805077	0.0019834474623294	0.0046953649814643	0.0	0.0006354870419003	0.0005211899546912	0.0011608042754025	0.0	0.0015341920008918	0.0	0.0014631168026386	0.0
genus	Actinobacillus	Bacteria	0.5917027990683347	0.257797206370049	1.250162308266363	0.9596712201734688	0.9430616851306608	1.9984321596738732	5.61769289196448	0.2503014757404641	0.301764890489402	0.1866042856561988	1.1085633057872597	12.343196259866104	0.0872780525276867	0.0145076304697938
genus	Actinokineospora	Bacteria	0.0	0.0	0.0021670986547016	0.0007933789849317	0.0031302433209762	0.0	0.0002541948167601	0.0002084759818764	0.0003869347584675	0.0	0.0015341920008918	0.0	0.0005852467210554	0.0
genus	Actinomadura	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103182602258	0.0	0.0	0.0	0.0	0.0
genus	Actinomyces	Bacteria	0.4317831236444603	0.061786779199381	0.1192908093250232	1.8755479203787089	1.4780439826500535	2.0792700561830078	0.132689694348788	0.5628851510665301	0.3188342409772255	0.0911986036079749	0.2761545601605272	0.0	0.2624831543933734	0.0812427306308457
genus	Actinoplanes	Bacteria	0.0	0.0009291244992388	0.0046127610124975	0.0	0.0003983946044878	0.0	0.009363638420769	0.0005211899546912	0.0045025135530764	0.0	0.0	0.0	0.0	0.0
